Gene_ID,logFC,logCPM,LR,PValue,FDR
ENSRNOG00000016070,1.050595729,-2.921853851,1.029153069,0.310357671,0.764284526
ENSRNOG00000001099,-0.11340133,3.876639392,1.028940867,0.310407557,0.764332255
ENSRNOG00000039856,0.445248063,-0.934538084,1.028872893,0.31042354,0.764332255
ENSRNOG00000057832,-0.30114669,-0.251872059,1.028637716,0.310478844,0.764411187
ENSRNOG00000051163,1.119521058,-3.1322556,1.027631535,0.310715602,0.764639829
ENSRNOG00000007301,-1.241813678,-3.1323534,1.02756358,0.3107316,0.764639829
ENSRNOG00000060337,0.099303688,4.863215664,1.027448565,0.31075868,0.764639829
ENSRNOG00000004062,-1.368054074,-3.381077171,1.027255078,0.310804244,0.764639829
ENSRNOG00000004122,-1.368054074,-3.381077171,1.027255078,0.310804244,0.764639829
ENSRNOG00000024986,-1.368054074,-3.381077171,1.027255078,0.310804244,0.764639829
ENSRNOG00000030981,-1.368054074,-3.381077171,1.027255078,0.310804244,0.764639829
ENSRNOG00000038909,-1.368054074,-3.381077171,1.027255078,0.310804244,0.764639829
ENSRNOG00000048247,-1.368054074,-3.381077171,1.027255078,0.310804244,0.764639829
ENSRNOG00000053996,-1.368054074,-3.381077171,1.027255078,0.310804244,0.764639829
ENSRNOG00000018586,0.09779318,5.52946574,1.026759338,0.310921023,0.764869904
ENSRNOG00000021006,0.100905952,5.055670052,1.025293909,0.311266562,0.765662654
ENSRNOG00000047134,0.096385304,6.2689323,1.025033388,0.311328043,0.765717128
ENSRNOG00000040273,0.138665127,2.853857234,1.025002729,0.31133528,0.765717128
ENSRNOG00000003143,-0.768857444,-2.572139933,1.024585954,0.311433672,0.765901836
ENSRNOG00000059321,-1.232593445,-3.132521419,1.024405545,0.311476276,0.765949326
ENSRNOG00000012176,0.55927276,-1.797460612,1.024282767,0.311505274,0.765963354
ENSRNOG00000000581,-0.10070906,4.683628385,1.02372613,0.311636788,0.766229438
ENSRNOG00000000867,-0.097933458,6.041650171,1.023277665,0.311742797,0.766337999
ENSRNOG00000011649,-1.364869076,-3.381146851,1.023129398,0.311777856,0.766337999
ENSRNOG00000052654,-1.364869076,-3.381146851,1.023129398,0.311777856,0.766337999
ENSRNOG00000057212,-1.364869076,-3.381146851,1.023129398,0.311777856,0.766337999
ENSRNOG00000029971,-0.159389038,7.35838194,1.023046469,0.311797466,0.766337999
ENSRNOG00000020244,0.658229301,-2.21128971,1.02262721,0.311896637,0.766524449
ENSRNOG00000021463,-0.2469308,0.896705347,1.022130196,0.312014253,0.766756198
ENSRNOG00000056096,-1.21608102,-3.132828423,1.02159711,0.312140469,0.767009046
ENSRNOG00000045691,-0.438044762,-0.041623868,1.020804201,0.312328326,0.767339348
